IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad
5,0,50,177.116,177.116,177.116,1
5,1,50,177.116,197.905,177.116,0.65983
5,2,50,154.143,154.143,154.143,1
5,3,50,129.732,129.732,129.732,1
5,4,50,129.732,142.659,129.732,0.772173
5,5,50,118.506,118.506,118.506,1
5,6,50,112.46,112.46,112.46,1
5,7,50,112.46,116.038,116.038,0.930939
5,8,50,112.46,113.671,113.671,1
5,9,50,112.46,120.708,113.671,0.868705
5,10,50,112.46,118.231,118.231,0.912818
5,11,50,112.46,115.797,115.797,1
5,12,50,112.46,134.642,134.642,0.685986
5,13,50,112.46,114.327,114.327,1
5,14,50,112.46,116.438,116.438,0.958656
5,15,50,107.271,107.271,107.271,1
5,16,50,107.271,111.168,111.168,0.925007
5,17,50,107.271,119.904,119.904,0.8397
5,18,50,107.271,126.167,126.167,0.882258
5,19,50,107.271,131.582,131.582,0.897358
5,20,50,107.271,152.49,152.49,0.658263
5,21,50,107.271,130.59,130.59,1
5,22,50,107.271,138.159,138.159,0.859523
5,23,50,107.271,139.574,139.574,0.972096
5,24,50,107.271,152.509,152.509,0.77205
5,25,50,107.271,135.069,135.069,1
5,26,50,107.271,117.353,117.353,1
5,27,50,97.9686,97.9686,97.9686,1
5,28,50,97.9686,114.684,114.684,0.715828
5,29,50,97.9686,110.476,110.476,1
5,30,50,97.9686,101.454,101.454,1
5,31,50,97.9686,125.753,101.454,0.615086
5,32,50,97.9686,106.675,101.454,0.900846
5,33,50,94.7144,94.7144,94.7144,1
5,34,50,76.311,76.311,76.311,1
5,35,50,56.9921,56.9921,56.9921,1
5,36,50,56.9921,58.1441,58.1441,0.977223
5,37,50,56.9921,60.8919,60.8919,0.946527
5,38,50,56.9921,85.1869,60.8919,0.615143
5,39,50,56.9921,58.9664,58.9664,1
5,40,50,56.9921,71.4897,58.9664,0.778437
5,41,50,56.9921,80.8045,80.8045,0.646125
5,42,50,56.9921,86.7005,86.7005,0.888767
5,43,50,56.9921,85.8349,85.8349,1
5,44,50,56.9921,99.2571,99.2571,0.764568
5,45,50,56.9921,120.391,120.391,0.655291
5,46,50,56.9921,100.149,100.149,1
5,47,50,56.9921,95.9156,95.9156,1
5,48,50,56.9921,108.335,108.335,0.780051
5,49,50,56.9921,103.268,103.268,1
5,50,50,56.9921,95.4478,95.4478,1
5,51,50,56.9921,82.5685,82.5685,1
5,52,50,56.9921,64.5319,64.5319,1
5,53,50,56.9921,80.8389,64.5319,0.721704
5,54,50,56.9921,61.9389,61.9389,1
5,55,50,55.3937,55.3937,55.3937,1
5,56,50,55.3937,56.2482,56.2482,0.983055
5,57,50,55.3937,59.4766,59.4766,0.937472
5,58,50,55.3937,79.279,79.279,0.672975
5,59,50,55.3937,101.035,101.035,0.647181
5,60,50,55.3937,100.538,100.538,1
5,61,50,55.3937,89.5255,89.5255,1
5,62,50,55.3937,79.9358,79.9358,1
5,63,50,55.3937,59.1658,59.1658,1
5,64,50,55.3937,62.821,62.821,0.929504
5,65,50,55.3937,85.0638,85.0638,0.640917
5,66,50,55.3937,68.1674,68.1674,1
5,67,50,55.3937,75.4697,75.4697,0.864117
5,68,50,55.3937,69.2616,69.2616,1
5,69,50,55.3937,75.3336,75.3336,0.885644
5,70,50,55.3937,99.9836,75.3336,0.610791
5,71,50,55.3937,58.445,58.445,1
5,72,50,55.3937,64.7066,64.7066,0.882293
5,73,50,55.3937,68.1502,68.1502,0.933446
5,74,50,55.3245,55.3245,55.3245,1
5,75,50,55.3245,63.0396,63.0396,0.857013
5,76,50,55.3245,62.0535,62.0535,1
5,77,50,55.3245,85.2083,85.2083,0.629333
5,78,50,55.3245,92.0271,92.0271,0.872514
5,79,50,55.3245,111.902,111.902,0.672005
5,80,50,55.3245,121.934,121.934,0.818202
5,81,50,55.3245,125.494,125.494,0.93128
5,82,50,55.3245,113.153,113.153,1
5,83,50,55.3245,117.385,117.385,0.918833
5,84,50,55.3245,135.242,135.242,0.699684
5,85,50,55.3245,115.606,115.606,1
5,86,50,55.3245,94.3692,94.3692,1
5,87,50,55.3245,115.474,115.474,0.655665
5,88,50,55.3245,110.952,110.952,1
5,89,50,55.3245,117.772,117.772,0.8725
5,90,50,55.3245,125.633,125.633,0.854519
5,91,50,55.3245,110.807,110.807,1
5,92,50,55.3245,97.0845,97.0845,1
5,93,50,55.3245,80.5144,80.5144,1
5,94,50,55.3245,90.8263,90.8263,0.81364
5,95,50,55.3245,89.6123,89.6123,1
5,96,50,55.3245,101.589,101.589,0.786997
5,97,50,55.3245,91.7771,91.7771,1
5,98,50,55.3245,70.5224,70.5224,1
5,99,50,55.3245,59.6109,59.6109,1
5,100,50,55.3245,55.336,55.336,1
5,101,50,55.3245,79.2561,79.2561,0.619773
5,102,50,55.3245,84.8966,84.8966,0.893321
5,103,50,55.3245,108.945,84.8966,0.618179
5,104,50,55.3245,95.2532,84.8966,0.812913
5,105,50,55.3245,90.6938,90.6938,0.890525
5,106,50,55.3245,92.9527,92.9527,0.955827
5,107,50,55.3245,100.032,100.032,0.867985
5,108,50,55.3245,104.881,104.881,0.907563
5,109,50,55.3245,106.086,106.086,0.976192
5,110,50,55.3245,82.8375,82.8375,1
5,111,50,55.3245,101.668,101.668,0.686184
5,112,50,55.3245,98.4676,98.4676,1
5,113,50,55.3245,80.5952,80.5952,1
5,114,50,55.3245,84.4739,84.4739,0.925358
5,115,50,55.3245,96.2255,84.4739,0.790546
5,116,50,55.3245,109.184,109.184,0.610057
5,117,50,55.3245,95.7363,95.7363,1
5,118,50,55.3245,100.142,100.142,0.915663
5,119,50,55.3245,103.9,100.142,0.927593
5,120,50,55.3245,121.493,121.493,0.652445
5,121,50,55.3245,118.195,118.195,1
5,122,50,55.3245,117.691,117.691,1
5,123,50,55.3245,126.942,126.942,0.831086
5,124,50,55.3245,129.835,129.835,0.943782
5,125,50,55.3245,139.533,139.533,0.82369
5,126,50,55.3245,126.138,126.138,1
5,127,50,55.3245,134.941,126.138,0.838568
5,128,50,55.3245,129.356,129.356,0.93766
5,129,50,55.3245,138,138,0.841247
5,130,50,55.3245,115.108,115.108,1
5,131,50,55.3245,124.544,115.108,0.828013
5,132,50,55.3245,139.529,139.529,0.61359
5,133,50,55.3245,161.057,139.529,0.650151
5,134,50,55.3245,143.52,143.52,0.923286
5,135,50,55.3245,142.265,142.265,1
5,136,50,55.3245,128.037,128.037,1
5,137,50,55.3245,138.122,138.122,0.817343
5,138,50,55.3245,134.923,134.923,1
5,139,50,55.3245,119.579,119.579,1
5,140,50,55.3245,128.52,128.52,0.836258
5,141,50,55.3245,150.264,150.264,0.647337
5,142,50,55.3245,152.027,152.027,0.965364
5,143,50,55.3245,174.345,152.027,0.639942
5,144,50,55.3245,140.991,140.991,1
5,145,50,55.3245,159.609,140.991,0.6891
5,146,50,55.3245,143.776,143.776,0.945825
5,147,50,55.3245,147.658,147.658,0.925301
5,148,50,55.3245,160.234,160.234,0.77762
5,149,50,55.3245,158.845,158.845,1
5,150,50,55.3245,183.477,183.477,0.61101
5,151,47.5,55.3245,191.76,191.76,0.83998
5,152,47.5,55.3245,208.213,208.213,0.707242
5,153,47.5,55.3245,232.68,208.213,0.597446
5,154,47.5,55.3245,203.182,203.182,1
