IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
1,0.0000,250.9685,544.5437,8.0000,176.6397,999.9999,146.5574,8.0000,0,0,-1,0.0000,176.6397,999.9999,146.5574,8.0000,0
2,4.0000,627.4526,200.6363,15.0000,287.9412,202.1275,1000.0000,15.0000,0,0,-1,0.0000,287.9412,202.1275,1000.0000,15.0000,1
3,8.0000,256.6191,0.0000,8.5712,368.1063,1000.0001,857.7380,8.5712,0,0,-1,0.0000,368.1063,1000.0001,857.7380,8.5712,2
4,14.0000,18.2512,0.0000,13.7770,249.2412,1000.0001,625.1599,13.7770,0,0,-1,0.0000,249.2412,1000.0001,625.1599,13.7770,3
5,19.0000,0.0000,868.3166,9.6797,321.7195,1000.0000,59.5207,9.6797,0,0,-1,0.0000,321.7195,1000.0000,59.5207,9.6797,4
6,23.0000,136.7163,671.8893,15.0000,224.9740,1000.0000,407.4700,15.0000,0,0,-1,0.0000,224.9740,1000.0000,407.4700,15.0000,5
7,27.0000,88.9204,1000.0000,12.5074,304.5168,806.8690,-0.0000,12.5074,0,0,-1,0.0000,304.5168,806.8690,-0.0000,12.5074,6
8,32.0000,1000.0000,884.9042,13.2054,331.0446,227.6614,-0.0000,13.2054,0,0,-1,0.0000,331.0446,227.6614,-0.0000,13.2054,7
9,37.0000,678.6158,1000.0000,8.3181,353.4538,190.9307,-0.0000,8.3181,0,0,-1,0.0000,353.4538,190.9307,-0.0000,8.3181,8
10,42.0000,662.3325,341.4507,15.0000,267.2814,-0.0000,704.3728,15.0000,0,0,-1,0.0000,267.2814,-0.0000,704.3728,15.0000,9
11,48.0000,323.1709,655.8327,8.0000,237.9366,1000.0001,169.1229,8.0000,0,0,-1,0.0000,237.9366,1000.0001,169.1229,8.0000,10
12,52.0000,576.1135,383.2761,15.0000,207.8545,-0.0000,882.3597,15.0000,0,0,-1,0.0000,207.8545,-0.0000,882.3597,15.0000,11
13,57.0000,332.1998,1000.0000,10.1510,369.7479,989.8872,-0.0000,10.1510,0,0,-1,0.0000,369.7479,989.8872,-0.0000,10.1510,12
14,62.0000,390.3722,1000.0000,12.3513,361.8482,384.3419,-0.0000,12.3513,0,0,-1,0.0000,361.8482,384.3419,-0.0000,12.3513,13
15,66.0000,960.7733,164.5621,15.0000,334.9380,277.4509,999.9999,15.0000,0,0,-1,0.0000,334.9380,277.4509,999.9999,15.0000,14
16,72.0000,215.0311,777.6353,8.0000,328.3621,883.6713,-0.0000,8.0000,0,0,-1,0.0000,328.3621,883.6713,-0.0000,8.0000,15
17,77.0000,216.5562,747.8268,8.0000,393.2719,1000.0000,32.6082,8.0000,0,0,-1,0.0000,393.2719,1000.0000,32.6082,8.0000,16
18,82.0000,0.0000,720.2682,11.7777,333.9861,823.3295,-0.0000,11.7777,0,0,-1,0.0000,333.9861,823.3295,-0.0000,11.7777,17
19,86.0000,189.4480,391.8696,8.0000,263.6424,1000.0000,646.9073,8.0000,0,0,-1,0.0000,263.6424,1000.0000,646.9073,8.0000,18
20,91.0000,542.4675,44.1257,15.0000,291.0311,265.4645,1000.0000,15.0000,0,0,-1,0.0000,291.0311,265.4645,1000.0000,15.0000,19
21,95.0000,288.5690,265.5752,15.0000,286.4327,1000.0000,807.3970,15.0000,0,0,-1,0.0000,286.4327,1000.0000,807.3970,15.0000,20
22,101.0000,480.0707,1000.0000,14.8124,307.1904,710.6424,-0.0000,14.8124,0,0,-1,0.0000,307.1904,710.6424,-0.0000,14.8124,21
