IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
1,0.0000,140.1971,462.5747,8.0000,266.4333,1000.0001,638.3882,8.0000,0,0,-1,0.0000,266.4333,1000.0001,638.3882,8.0000,0
2,12.0000,1000.0000,26.4385,12.5060,259.2921,-0.0000,548.9830,12.5060,0,0,-1,0.0000,259.2921,-0.0000,548.9830,12.5060,1
3,19.0000,1000.0000,319.4703,9.4931,399.2363,-0.0000,886.2310,9.4931,0,0,-1,0.0000,399.2363,-0.0000,886.2310,9.4931,2
4,33.0000,279.2352,222.7778,15.0000,258.0892,673.1286,999.9999,15.0000,0,0,-1,0.0000,258.0892,673.1286,999.9999,15.0000,3
5,39.0000,0.0000,161.9069,11.4396,375.7263,1000.0001,756.5705,11.4396,0,0,-1,0.0000,375.7263,1000.0001,756.5705,11.4396,4
6,52.0000,270.6940,0.0000,10.6880,276.7957,522.1316,999.9999,10.6880,0,0,-1,0.0000,276.7957,522.1316,999.9999,10.6880,5
7,64.0000,471.7381,945.8964,15.0000,289.2294,199.4428,-0.0000,15.0000,0,0,-1,0.0000,289.2294,199.4428,-0.0000,15.0000,6
8,71.0000,285.0769,890.7986,8.0000,282.2909,593.7270,-0.0000,8.0000,0,0,-1,0.0000,282.2909,593.7270,-0.0000,8.0000,7
9,77.0000,494.9695,967.3601,15.0000,336.0695,554.7197,-0.0000,15.0000,0,0,-1,0.0000,336.0695,554.7197,-0.0000,15.0000,8
10,84.0000,854.5967,0.0000,9.4250,385.8403,223.9901,999.9999,9.4250,0,0,-1,0.0000,385.8403,223.9901,999.9999,9.4250,9
11,89.0000,204.0537,0.0000,9.4766,399.9230,1000.0000,884.8983,9.4766,0,0,-1,0.0000,399.9230,1000.0000,884.8983,9.4766,10
12,96.0000,781.0721,0.0000,14.1037,345.3923,582.7975,1000.0000,14.1037,0,0,-1,0.0000,345.3923,582.7975,1000.0000,14.1037,11
13,109.0000,700.9202,412.4753,8.0000,293.5749,59.7902,1000.0001,8.0000,0,0,-1,0.0000,293.5749,59.7902,1000.0001,8.0000,12
14,117.0000,1000.0000,22.4981,10.7194,431.3778,-0.0000,470.4251,10.7194,0,0,-1,0.0000,431.3778,-0.0000,470.4251,10.7194,13
15,125.0000,803.2180,20.8445,8.0000,480.4830,287.8211,1000.0000,8.0000,0,0,-1,0.0000,480.4830,287.8211,1000.0000,8.0000,14
16,139.0000,967.3223,706.4683,8.0000,370.0160,-0.0000,395.0329,8.0000,0,0,-1,0.0000,370.0160,-0.0000,395.0329,8.0000,15
17,150.0000,229.3096,783.0001,15.0000,418.8853,1000.0000,131.7573,15.0000,0,0,-1,0.0000,418.8853,1000.0000,131.7573,15.0000,16
18,155.0000,0.0000,499.5760,11.9408,429.5580,1000.0000,847.8600,11.9408,0,0,-1,0.0000,429.5580,1000.0000,847.8600,11.9408,17
19,161.0000,0.0000,982.5978,13.5000,617.1262,1000.0000,30.6370,13.5000,0,0,-1,0.0000,617.1262,1000.0000,30.6370,13.5000,18
20,172.0000,72.1075,733.2808,15.0000,452.6433,1000.0000,12.1632,15.0000,0,0,-1,0.0000,452.6433,1000.0000,12.1632,15.0000,19
21,185.0000,1000.0000,612.3037,14.9459,440.1294,-0.0000,63.2068,14.9459,0,0,-1,0.0000,440.1294,-0.0000,63.2068,14.9459,20
22,194.0000,746.3469,303.7795,8.0000,405.0912,-0.0000,558.4074,8.0000,0,0,-1,0.0000,405.0912,-0.0000,558.4074,8.0000,21
23,207.0000,677.9518,0.0000,10.3867,477.3360,590.1273,1000.0001,10.3867,0,0,-1,0.0000,477.3360,590.1273,1000.0001,10.3867,22
24,214.0000,0.0000,309.6447,14.3931,441.4023,999.9999,609.2762,14.3931,0,0,-1,0.0000,441.4023,999.9999,609.2762,14.3931,23
25,221.0000,1000.0000,725.3291,11.0885,465.3383,-0.0000,573.2396,11.0885,0,0,-1,0.0000,465.3383,-0.0000,573.2396,11.0885,24
26,228.0000,229.6098,1000.0000,10.4735,475.8491,429.3194,-0.0000,10.4735,0,0,-1,0.0000,475.8491,429.3194,-0.0000,10.4735,25
27,240.0000,126.0888,748.1992,8.0000,464.9429,1000.0001,49.0149,8.0000,0,0,-1,0.0000,464.9429,1000.0001,49.0149,8.0000,26
28,249.0000,0.0000,694.6302,8.5370,550.7983,1000.0000,536.8743,8.5370,0,0,-1,0.0000,550.7983,1000.0000,536.8743,8.5370,27
29,263.0000,473.1387,702.8909,15.0000,413.4625,703.7206,-0.0000,15.0000,0,0,-1,0.0000,413.4625,703.7206,-0.0000,15.0000,26
30,270.0000,585.0525,670.7803,15.0000,487.4539,223.5597,-0.0000,15.0000,0,0,-1,0.0000,487.4539,223.5597,-0.0000,15.0000,26
31,275.0000,180.8234,230.6479,15.0000,493.8994,630.7264,999.9999,15.0000,0,0,-1,0.0000,493.8994,630.7264,999.9999,15.0000,27
32,283.0000,870.0204,1000.0000,13.8828,578.6025,-0.0000,411.1290,13.8828,0,0,-1,0.0000,578.6025,-0.0000,411.1290,13.8828,26
33,292.0000,251.1063,613.0483,15.0000,523.2589,935.4044,-0.0000,15.0000,0,0,-1,0.0000,523.2589,935.4044,-0.0000,15.0000,26
34,304.0000,354.9046,0.0000,9.4292,571.2972,925.4809,1000.0000,9.4292,0,0,-1,0.0000,571.2972,925.4809,1000.0000,9.4292,26
35,311.0000,0.0000,336.2899,9.5194,558.8204,999.9999,820.3927,9.5194,0,0,-1,0.0000,558.8204,999.9999,820.3927,9.5194,27
36,324.0000,0.0000,100.8738,11.3309,680.7605,1000.0000,945.7726,11.3309,0,0,-1,0.0000,680.7605,1000.0000,945.7726,11.3309,28
37,338.0000,824.9887,1000.0000,13.0201,592.9536,-0.0000,258.0513,13.0201,0,0,-1,0.0000,592.9536,-0.0000,258.0513,13.0201,28
38,351.0000,5.2068,0.0000,10.9536,757.9033,1000.0000,857.1374,10.9536,0,0,-1,0.0000,757.9033,1000.0000,857.1374,10.9536,28
39,357.0000,1000.0000,521.0574,12.4724,357.0000,1000.0000,521.0574,12.4724,0,0,-1,0.0000,357.0000,1000.0000,521.0574,12.4724,29
40,365.0000,633.3920,0.0000,12.7565,628.8779,303.3688,1000.0000,12.7565,0,0,-1,0.0000,628.8779,303.3688,1000.0000,12.7565,29
41,371.0000,803.2443,1000.0000,13.6524,675.2908,441.5934,-0.0000,13.3647,1,1,1,0.0000,675.2908,441.5934,-0.0000,13.6524,29
42,381.0000,540.6555,0.0000,10.8911,698.9564,500.4864,999.9999,10.8911,0,0,-1,0.0000,698.9564,500.4864,999.9999,10.8911,29
43,393.0000,1000.0000,983.7211,12.5094,691.7266,-0.0000,291.9347,12.5094,0,0,-1,0.0000,691.7266,-0.0000,291.9347,12.5094,29
44,400.0000,970.2932,492.5210,15.0000,678.8874,-0.0000,450.0803,15.0000,0,0,-1,0.0000,678.8874,-0.0000,450.0803,15.0000,28
45,407.0000,153.2077,715.0617,8.0000,677.7136,999.9999,325.0117,8.0000,0,0,-1,0.0000,677.7136,999.9999,325.0117,8.0000,28
46,421.0000,245.5586,1000.0000,14.6965,691.8522,1000.0000,170.5669,14.6965,0,0,-1,0.0000,691.8522,1000.0000,170.5669,14.6965,27
47,430.0000,364.2821,517.0222,8.0000,628.0774,1000.0000,523.8361,8.0000,0,0,-1,0.0000,628.0774,1000.0000,523.8361,8.0000,27
48,435.0000,75.9615,399.0805,8.0000,767.1196,999.9999,843.4304,8.0000,0,0,-1,0.0000,767.1196,999.9999,843.4304,8.0000,27
49,449.0000,647.2963,798.8669,15.0000,671.4309,558.0868,-0.0000,15.0000,0,0,-1,0.0000,671.4309,558.0868,-0.0000,15.0000,26
50,462.0000,0.0000,582.5983,11.7369,676.6438,1000.0000,539.1797,11.7369,0,0,-1,0.0000,676.6438,1000.0000,539.1797,11.7369,26
51,476.0000,132.1070,0.0000,14.6324,791.6680,954.3464,1000.0000,14.6324,0,0,-1,0.0000,791.6680,954.3464,1000.0000,14.6324,24
52,490.0000,5.2673,151.3036,15.0000,749.8834,867.3597,999.9999,15.0000,0,0,-1,0.0000,749.8834,867.3597,999.9999,15.0000,22
53,503.0000,774.0174,1000.0000,11.8889,747.1412,-0.0000,140.8856,11.8889,0,0,-1,0.0000,747.1412,-0.0000,140.8856,11.8889,22
54,516.0000,609.7449,441.8151,8.0000,689.3611,71.3155,1000.0000,8.0000,0,0,-1,0.0000,689.3611,71.3155,1000.0000,8.0000,23
55,521.0000,96.0130,1000.0000,10.7064,751.3615,561.2073,-0.0000,10.7064,0,0,-1,0.0000,751.3615,561.2073,-0.0000,10.7064,24
