IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,0,894.452,50.0704,50.0704,50.0704,1,0,45
5,1,894.452,47.2919,47.2919,47.2919,1,0,42.2835
5,2,894.452,47.2919,53.9704,53.9704,0.992561,0,48.8136
5,3,894.452,47.2919,50.9105,50.9105,1,0,45.8214
5,4,894.452,47.2919,55.0467,55.0467,0.995386,0,49.8661
5,5,894.452,46.189,46.189,46.189,1,0,41.2053
5,6,894.452,44.9492,44.9492,44.9492,1,0,39.9934
5,7,894.452,44.9492,46.5084,46.5084,0.998258,0,41.5176
5,8,894.452,44.6112,44.6112,44.6112,1,0,39.6629
5,9,894.452,38.7465,38.7465,38.7465,1,0,33.9307
5,10,894.452,35.7358,35.7358,35.7358,1,0,30.9887
5,11,894.452,27.5444,27.5444,27.5444,1,0,22.9859
5,12,894.452,27.5444,29.6274,29.6274,0.997674,0,25.0207
5,13,894.452,27.5444,30.3668,30.3668,0.999174,0,25.743
5,14,894.452,27.5444,28.5722,28.5722,1,0,23.9899
5,15,894.452,27.5444,30.5836,30.5836,0.997754,0,25.9547
5,16,894.452,27.5444,39.7429,39.7429,0.989812,0,34.9046
5,17,894.452,27.5444,33.9207,33.9207,1,0,29.2152
5,18,894.452,27.5444,39.2536,39.2536,0.994056,0,34.4263
5,19,894.452,27.5444,34.0789,34.0789,1,0,29.3698
5,20,894.452,27.5444,30.2182,30.2182,1,0,25.5978
5,21,894.452,27.5444,28.7206,28.7206,1,0,24.1348
5,22,894.452,27.5444,29.9829,29.9829,0.99859,0,25.3679
5,23,894.452,21.7423,21.7423,21.7423,1,0,17.3191
5,24,894.452,21.7423,30.2647,30.2647,0.990517,0,25.6433
5,25,894.452,21.7423,33.8766,33.8766,0.99597,0,29.1721
5,26,894.452,21.7423,33.5386,33.5386,1,0,28.8418
5,27,894.452,21.7423,26.981,26.981,1,0,22.4356
5,28,894.452,21.7423,36.6833,36.6833,0.989211,0,31.9145
5,29,894.452,21.7423,42.0676,42.0676,0.993998,0,37.1766
5,30,894.452,21.7423,51.6983,51.6983,0.989291,0,46.5917
5,31,894.452,21.7423,44.0093,44.0093,1,0,39.0746
5,32,894.452,21.7423,50.4264,50.4264,0.992851,0,45.3481
5,33,894.452,21.7423,43.5329,43.5329,1,0,38.6089
5,34,894.452,21.7423,41.368,41.368,1,0,36.4929
5,35,894.452,21.7423,37.1988,37.1988,1,0,32.4183
5,36,894.452,21.7423,32.1599,32.1599,1,0,27.4947
5,37,894.452,21.7423,41.3947,41.3947,0.989729,0,36.519
5,38,894.452,21.7423,32.7896,32.7896,1,0,28.11
5,39,894.452,21.7423,39.5429,39.5429,0.992478,0,34.7091
5,40,894.452,21.7423,34.8013,34.8013,1,0,30.0755
5,41,894.452,21.7423,42.7936,42.7936,0.991104,0,37.8863
5,42,894.452,21.7423,52.0017,52.0017,0.989758,0,46.8885
5,43,894.452,21.7423,46.1304,46.1304,1,0,41.148
5,44,894.452,21.7423,43.4042,43.4042,1,0,38.4831
5,45,894.452,21.7423,50.3829,50.3829,0.992228,0,45.3056
5,46,894.452,21.7423,56.7502,56.7502,0.992907,0,51.5321
5,47,894.452,21.7423,46.8313,46.8313,1,0,41.8333
5,48,894.452,21.7423,46.7234,46.7234,1,0,41.7278
5,49,894.452,21.7423,55.0916,55.0916,0.990688,0,49.91
5,50,894.452,21.7423,57.7591,57.7591,0.997022,0,52.5188
5,51,894.452,21.7423,51.0631,51.0631,1,0,45.9707
5,52,894.452,21.7423,50.3656,50.3656,1,0,45.2886
5,53,894.452,21.7423,40.6658,40.6658,1,0,35.8065
5,54,894.452,21.7423,46.6723,46.6723,0.993307,0,41.6778
5,55,894.452,21.7423,51.1004,51.1004,0.995062,0,46.0072
5,56,894.452,21.7423,56.9901,56.9901,0.993437,0,51.7667
5,57,894.452,21.7423,51.413,51.413,1,0,46.3128
5,58,894.452,21.7423,47.6861,47.6861,1,0,42.669
5,59,894.452,21.7423,45.684,45.684,1,0,40.7117
5,60,894.452,21.7423,38.465,38.465,1,0,33.6556
5,61,894.452,21.7423,37.8157,37.8157,1,0,33.0212
5,62,894.452,21.7423,36.4599,36.4599,1,0,31.6963
5,63,894.452,21.7423,41.2773,41.2773,0.994629,0,36.4042
5,64,894.452,21.7423,38.9771,38.9771,1,0,34.1561
5,65,894.452,21.7423,34.6713,34.6713,1,0,29.9485
5,66,894.452,21.7423,35.6405,35.6405,0.998917,0,30.8955
5,67,894.452,21.7423,39.3462,39.3462,0.995866,0,34.5169
5,68,894.452,21.7423,43.9511,43.9511,0.994865,0,39.0177
5,69,894.452,21.7423,53.2043,53.2043,0.989708,0,48.0644
5,70,894.452,21.7423,54.3338,54.3338,0.998738,0,49.1689
5,71,894.452,21.7423,57.3182,57.3182,0.996669,0,52.0876
5,72,894.452,21.7423,49.373,49.373,1,0,44.3181
5,73,894.452,21.7423,46.2907,46.2907,1,0,41.3047
5,74,894.452,21.7423,56.4215,56.4215,0.988738,0,51.2106
5,75,894.452,21.7423,61.0918,61.0918,0.994792,0,55.7786
5,76,894.452,21.7423,61.4444,61.4444,0.999606,0,56.1235
5,77,894.452,21.7423,57.2103,57.2103,1,0,51.982
5,78,894.452,21.7423,64.4576,64.4576,0.99193,0,59.0713
5,79,894.452,21.7423,65.3098,65.3098,0.999048,0,59.905
5,80,894.452,21.7423,72.794,72.794,0.991668,0,67.2282
5,81,894.452,21.7423,80.7163,80.7163,0.991182,0,74.9825
5,82,894.452,21.7423,89.3135,89.3135,0.990434,0,83.4001
5,83,894.452,21.7423,92.9768,92.9768,0.995913,0,86.9877
5,84,894.452,21.7423,99.9628,99.9628,0.99222,0,93.8306
5,85,894.452,21.7423,91.4735,91.4735,1,0,85.5154
5,86,894.452,21.7423,89.9604,89.9604,1,0,84.0335
5,87,894.452,21.7423,89.618,89.618,1,0,83.6982
5,88,894.452,21.7423,86.7668,86.7668,1,0,80.9063
5,89,894.452,21.7423,90.6233,90.6233,0.995698,0,84.6827
5,90,894.452,21.7423,93.2203,93.2203,0.997101,0,87.2261
5,91,894.452,21.7423,90.6618,90.6618,1,0,84.7204
5,92,894.452,21.7423,86.1742,86.1742,1,0,80.326
5,93,894.452,21.7423,85.9384,85.9384,1,0,80.0952
5,94,894.452,21.7423,95.3873,95.3873,0.989492,0,89.3486
5,95,894.452,21.7423,87.8429,87.8429,1,0,81.96
5,96,894.452,21.7423,88.5079,88.5079,0.999257,0,82.6112
5,97,894.452,21.7423,84.3586,84.3586,1,0,78.5483
5,98,894.452,21.7423,81.8063,81.8063,1,0,76.0495
5,99,894.452,21.7423,84.2839,84.2839,0.997234,0,78.4753
5,100,894.452,21.7423,91.6146,91.6146,0.991838,0,85.6535
5,101,894.452,21.7423,95.597,95.597,0.995558,0,89.554
5,102,894.452,21.7423,91.8614,91.8614,1,0,85.8953
5,103,894.452,21.7423,86.4782,86.4782,1,0,80.6238
5,104,894.452,21.7423,85.5682,85.5682,1,0,79.7327
5,105,894.452,21.7423,92.2888,92.2888,0.992514,0,86.3139
5,106,894.452,21.7423,95.8556,95.8556,0.99602,0,89.8073
5,107,894.452,21.7423,97.0582,97.0582,0.998656,0,90.9853
5,108,894.452,21.7423,105.54,105.54,0.990562,0,99.2947
5,109,894.452,21.7423,105.097,105.097,1,0,98.8607
5,110,894.452,21.7423,99.3454,99.3454,1,1,-94.7598
5,111,894.452,21.7423,92.1443,92.1443,1,1,-87.5914
5,112,894.452,21.7423,95.0948,95.0948,0.996707,1,-90.5285
5,113,894.452,21.7423,96.9581,96.9581,0.997919,1,-92.3833
5,114,894.452,21.7423,88.812,88.812,1,1,-84.2743
5,115,894.452,21.7423,96.8582,96.8582,0.991045,1,-92.2838
5,116,894.452,21.7423,101.056,101.056,0.995318,1,-96.4623
5,117,894.452,21.7423,92.5816,92.5816,1,1,-88.0267
5,118,894.452,21.7423,85.4589,85.4589,1,1,-80.9365
5,119,894.452,21.7423,81.6396,81.6396,1,1,-77.1346
5,120,894.452,21.7423,74.8062,74.8062,1,1,-70.3322
5,121,894.452,21.7423,82.4913,82.4913,0.991445,1,-77.9823
5,122,894.452,21.7423,75.392,75.392,1,1,-70.9154
5,123,894.452,21.7423,70.1611,70.1611,1,1,-65.7082
5,124,894.452,21.7423,60.1684,60.1684,1,1,-55.7611
5,125,894.452,21.7423,65.4584,65.4584,0.994103,1,-61.027
5,126,894.452,21.7423,67.5176,67.5176,0.9977,1,-63.0768
5,127,894.452,21.7423,76.8458,76.8458,0.989625,1,-72.3625
5,128,894.452,21.7423,69.9388,69.9388,1,1,-65.487
5,129,894.452,21.7423,68.0126,68.0126,1,1,-63.5695
5,130,894.452,21.7423,70.019,70.019,0.997759,1,-65.5668
5,131,894.452,21.7423,76.7547,76.7547,0.992498,1,-72.2719
5,132,894.452,21.7423,86.5724,86.5724,0.989084,1,-82.0449
5,133,894.452,21.7423,77.3387,77.3387,1,1,-72.8532
5,134,894.452,21.7423,80.0716,80.0716,0.996949,1,-75.5737
5,135,894.452,21.7423,70.436,70.436,1,1,-65.982
5,136,894.452,21.7423,76.9347,76.9347,0.992761,1,-72.451
5,137,894.452,21.7423,71.0765,71.0765,1,1,-66.6195
5,138,894.452,21.7423,68.2276,68.2276,1,1,-63.7835
5,139,894.452,21.7423,58.5623,58.5623,1,1,-54.1623
5,140,894.452,21.7423,53.002,53.002,1,1,-48.6273
5,141,894.452,21.7423,62.1899,62.1899,0.989781,1,-57.7733
5,142,894.452,21.7423,60.6131,60.6131,1,1,-56.2038
5,143,894.452,21.7423,63.1096,63.1096,0.997213,1,-58.6889
5,144,894.452,21.7423,53.8463,53.8463,1,1,-49.4678
5,145,894.452,21.7423,55.6756,55.6756,0.997957,1,-51.2887
5,146,894.452,21.7423,61.4927,61.4927,0.993518,1,-57.0794
5,147,894.452,21.7423,53.0325,53.0325,1,1,-48.6576
5,148,894.452,21.7423,52.5013,52.5013,1,1,-48.1289
5,149,894.452,21.7423,60.0299,60.0299,0.991618,1,-55.6232
5,150,894.452,21.7423,67.1716,67.1716,0.992047,1,-62.7324
5,151,894.452,21.7423,67.0795,67.0795,1,1,-62.6408
5,152,894.452,21.7423,60.4369,60.4369,1,1,-56.0284
5,153,894.452,21.7423,59.7629,59.7629,1,1,-55.3574
5,154,894.452,21.7423,53.6405,53.6405,1,1,-49.2629
5,155,894.452,21.7423,48.0948,48.0948,1,1,-43.7424
5,156,894.452,21.7423,53.3595,53.3595,0.994131,1,-48.9832
5,157,894.452,21.7423,58.9813,58.9813,0.993735,1,-54.5794
5,158,894.452,21.7423,60.4522,60.4522,0.998357,1,-56.0435
5,159,894.452,21.7423,67.2801,67.2801,0.992395,1,-62.8404
5,160,894.452,21.7423,72.7837,72.7837,0.993866,1,-68.319
5,161,894.452,21.7423,75.9589,75.9589,0.996456,1,-71.4797
5,162,894.452,21.7423,71.6842,71.6842,1,1,-67.2245
5,163,894.452,21.7423,64.091,64.091,1,1,-59.6658
5,164,894.452,21.7423,61.5887,61.5887,1,1,-57.1749
5,165,894.452,21.7423,58.3574,58.3574,1,1,-53.9583
5,166,894.452,21.7423,64.2569,64.2569,0.993426,1,-59.8309
5,167,894.452,21.7423,67.6344,67.6344,0.996231,1,-63.1931
5,168,894.452,21.7423,61.2955,61.2955,1,1,-56.883
5,169,894.452,21.7423,66.7173,66.7173,0.993957,1,-62.2802
5,170,894.452,21.7423,68.8854,68.8854,0.997579,1,-64.4383
5,171,894.452,21.7423,70.5529,70.5529,0.998137,1,-66.0983
5,172,894.452,21.7423,64.644,64.644,1,1,-60.2163
5,173,894.452,21.7423,62.9472,62.9472,1,1,-58.5272
5,174,894.452,21.7423,67.7994,67.7994,0.99459,1,-63.3573
