IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
1,0.0000,1000.0000,296.8138,10.9275,280.2561,-0.0000,544.1495,10.9275,0,0,-1,0.0000,280.2561,-0.0000,544.1495,10.9275,0
2,9.0000,0.0000,405.4097,10.8704,244.9160,1000.0000,774.2861,10.8704,0,0,-1,0.0000,244.9160,1000.0000,774.2861,10.8704,1
3,30.0000,740.0812,1000.0000,12.0039,362.9711,386.7780,-0.0000,12.0039,0,0,-1,0.0000,362.9711,386.7780,-0.0000,12.0039,2
4,40.0000,0.0000,998.2656,14.3974,498.8932,980.0828,-0.0000,14.3974,0,0,-1,0.0000,498.8932,980.0828,-0.0000,14.3974,3
5,62.0000,825.9592,520.1948,8.0000,334.7987,-0.0000,194.6305,8.0000,0,0,-1,0.0000,334.7987,-0.0000,194.6305,8.0000,4
6,83.0000,667.0427,1000.0000,13.1128,376.9203,256.5602,-0.0000,13.1128,0,0,-1,0.0000,376.9203,256.5602,-0.0000,13.1128,5
7,110.0000,302.3940,775.9449,8.0000,300.5926,603.6146,-0.0000,8.0000,0,0,-1,0.0000,300.5926,603.6146,-0.0000,8.0000,6
8,139.0000,0.0000,619.5664,11.1995,475.2021,999.9999,417.4138,11.1995,0,0,-1,0.0000,475.2021,999.9999,417.4138,11.1995,7
9,161.0000,0.0000,967.7084,8.5078,495.2495,919.9079,-0.0000,8.5078,0,0,-1,0.0000,495.2495,919.9079,-0.0000,8.5078,8
10,173.0000,357.2773,105.2848,15.0000,510.4098,1000.0000,976.3715,15.0000,0,0,-1,0.0000,510.4098,1000.0000,976.3715,15.0000,9
11,202.0000,0.0000,546.9082,13.0800,465.7881,1000.0000,553.3292,13.0800,0,0,-1,0.0000,465.7881,1000.0000,553.3292,13.0800,10
12,230.0000,1000.0000,26.9971,8.6496,558.4846,351.3114,1000.0000,8.6496,0,0,-1,0.0000,558.4846,351.3114,1000.0000,8.6496,11
13,251.0000,942.8268,362.5580,15.0000,482.3251,-0.0000,664.6966,15.0000,0,0,-1,0.0000,482.3251,-0.0000,664.6966,15.0000,11
14,277.0000,658.2287,851.6813,15.0000,518.7104,388.4395,-0.0000,15.0000,0,0,-1,0.0000,518.7104,388.4395,-0.0000,15.0000,12
15,290.0000,1000.0000,452.0372,10.9227,550.9106,-0.0000,566.2513,10.9227,0,0,-1,0.0000,550.9106,-0.0000,566.2513,10.9227,12
16,297.0000,885.1926,814.9880,8.0000,537.2068,-0.0000,321.9651,8.0000,0,0,-1,0.0000,537.2068,-0.0000,321.9651,8.0000,13
17,313.0000,220.0081,0.0000,11.4682,626.0883,515.5374,999.9999,11.4682,0,0,-1,0.0000,626.0883,515.5374,999.9999,11.4682,13
18,339.0000,771.3420,737.7166,8.0000,578.5405,-0.0000,424.5111,8.0000,0,0,-1,0.0000,578.5405,-0.0000,424.5111,8.0000,13
